state,city,neighborhood,street,price,area,rooms,bathrooms,garage,number,done,furnished,type
3,9,50,465,,88.0,2.0,1.0,1.0,3394.0,0,0,0
3,9,63,715,187000.0,26.0,1.0,1.0,1.0,108.0,1,0,0
3,9,23,606,999000.0,112.0,3.0,4.0,2.0,132.0,1,0,0
3,9,58,576,640000.0,106.0,3.0,2.0,1.0,133.0,2,0,0
3,9,65,678,750000.0,180.0,4.0,3.0,2.0,300.0,2,0,1
3,9,21,404,660000.0,75.0,2.0,1.0,1.0,,2,0,0
3,9,21,353,1400000.0,175.0,3.0,3.0,1.0,131.0,2,0,0
3,9,58,576,330000.0,60.0,2.0,2.0,1.0,410.0,2,0,0
3,9,19,503,290000.0,70.0,2.0,2.0,1.0,,2,0,0
3,9,27,73,250000.0,65.0,3.0,2.0,1.0,567.0,2,0,0
3,9,21,617,720000.0,93.0,2.0,2.0,1.0,437.0,2,0,0
3,9,58,333,780000.0,88.0,2.0,2.0,1.0,275.0,2,0,0
3,9,58,757,900000.0,110.0,3.0,3.0,2.0,67.0,2,0,0
3,9,36,82,272000.0,60.0,2.0,1.0,1.0,1291.0,2,0,0
3,9,13,635,530000.0,75.0,3.0,2.0,1.0,,2,0,0
3,9,21,353,1418000.0,115.0,2.0,4.0,1.0,196.0,2,0,0
3,9,16,426,520000.0,180.0,3.0,3.0,3.0,100.0,2,0,1
3,9,21,53,1098080.0,95.0,3.0,2.0,2.0,100.0,2,0,0
3,9,58,333,750000.0,80.0,3.0,3.0,1.0,360.0,2,0,0
3,9,58,333,750000.0,80.0,3.0,3.0,1.0,360.0,2,0,0
3,9,58,333,750000.0,80.0,3.0,3.0,1.0,360.0,2,0,0
3,9,58,699,860000.0,100.0,2.0,2.0,1.0,82.0,2,0,0
3,9,23,318,284000.0,40.0,1.0,1.0,1.0,259.0,2,0,23
3,9,19,520,250000.0,70.0,2.0,2.0,1.0,41.0,2,0,0
3,9,21,134,1200000.0,75.0,2.0,1.0,1.0,182.0,2,0,0
3,9,7,328,290000.0,57.0,2.0,1.0,1.0,500.0,2,0,0
3,9,50,685,840000.0,109.0,2.0,1.0,2.0,22.0,2,0,0
3,9,65,44,349000.0,70.0,2.0,2.0,1.0,1396.0,2,0,2
3,9,36,82,400000.0,56.0,2.0,2.0,1.0,399.0,2,0,0
3,9,58,349,460000.0,80.0,2.0,3.0,1.0,60.0,2,0,0
3,9,19,520,320000.0,79.0,2.0,1.0,1.0,41.0,2,0,0
3,9,13,635,420000.0,67.0,2.0,2.0,1.0,1.0,2,0,0
3,9,49,66,320000.0,75.0,2.0,2.0,1.0,4087.0,2,0,0
3,9,7,328,330000.0,65.0,2.0,1.0,1.0,505.0,2,0,0
3,9,21,53,650000.0,90.0,3.0,3.0,1.0,,2,0,0
3,9,59,172,240000.0,60.0,2.0,1.0,1.0,397.0,2,0,0
3,9,5,66,310000.0,58.0,2.0,2.0,1.0,4087.0,2,0,0
3,9,19,680,190000.0,51.0,2.0,1.0,1.0,,2,0,0
