state,city,neighborhood,street,price,area,rooms,bathrooms,garage,description,url,number,done,furnished,type
RJ,NITEROI,PIRATININGA,RUA JORNALISTA PRUDENCIO LUIZ FERREIRA TRAVASSOS,null,88,2,1,1,null,www.zapimoveis.com.br/lancamento/venda-apartamento-4-quartos-piratininga-niteroi-rj-267m2-id-2678300885,3394,0,0,APARTAMENTO
RJ,NITEROI,SAO LOURENCO,RUA SAO LOURENCO,187000.0,26,1,1,1,null,www.zapimoveis.com.br/lancamento/venda-apartamento-2-quartos-sao-lourenco-niteroi-rj-279m2-id-2646116981,108,1,0,APARTAMENTO
RJ,NITEROI,INGA,RUA PEREIRA NUNES,999000.0,112,3,4,2,null,www.zapimoveis.com.br/lancamento/venda-apartamento-4-quartos-inga-niteroi-rj-158m2-id-2540348455,132,1,0,APARTAMENTO
RJ,NITEROI,SANTA ROSA,RUA NORONHA TORREZAO,640000.0,106,3,2,1,null,www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-cozinha-santa-rosa-niteroi-rj-106m2-id-2652931858,133,2,0,APARTAMENTO
RJ,NITEROI,MARAVISTA,RUA PROFESSOR ADAMASTOR CAMARA RIBEIRO,530000.0,191,3,1,null,null,www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-cozinha-maravista-niteroi-rj-191m2-id-2567803006,217,2,0,CASA
RJ,NITEROI,ITAIPU,AVENIDA IRENE LOPES SODRE,1200000.0,1145,null,null,null,null,www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-itaipu-niteroi-rj-1145m2-id-2684611196,null,2,0,LOTE/TERRENO
RJ,NITEROI,SERRA GRANDE,RUA REPUBLICA DOMINICANA,750000.0,180,4,3,2,null,www.zapimoveis.com.br/imovel/venda-casa-4-quartos-serra-grande-niteroi-180m2-id-2664721219,300,2,0,CASA
RJ,NITEROI,ICARAI,RUA GENERAL PEREIRA DA SILVA,660000.0,75,2,1,1,null,www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-icarai-niteroi-75m2-id-2562993693,null,2,0,APARTAMENTO
RJ,NITEROI,ATALAIA,ALAMEDA MONTE BELO,160000.0,45,2,1,null,null,www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-churrasqueira-largo-da-batalha-niteroi-45m2-id-2687154250,null,2,0,APARTAMENTO
RJ,NITEROI,CENTRO,AVENIDA ERNANI DO AMARAL PEIXOTO,85000.0,17,null,null,null,null,www.zapimoveis.com.br/imovel/venda-conjunto-comercial-sala-mobiliado-centro-niteroi-17m2-id-2686317959,300,2,1,SALA/CONJUNTO
RJ,NITEROI,ICARAI,RUA DOUTOR TAVARES DE MACEDO,1400000.0,175,3,3,1,null,www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-icarai-niteroi-175m2-id-2671972394,131,2,0,APARTAMENTO
RJ,NITEROI,SANTA ROSA,RUA NORONHA TORREZAO,330000.0,60,2,2,1,null,www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-santa-rosa-niteroi-60m2-id-2681043482,410,2,0,APARTAMENTO
